tranche_id	generation	heavy_atom_bin	logp_bin	url	expected_bytes
zinc-22f-H10P000	f	10	0	https://files.docking.org/zinc22/zinc-22f/H10/H10P000/H10P000-M.f.smi.gz	212
zinc-22f-H10P010	f	10	10	https://files.docking.org/zinc22/zinc-22f/H10/H10P010/H10P010-M.f.smi.gz	248
zinc-22f-H10P020	f	10	20	https://files.docking.org/zinc22/zinc-22f/H10/H10P020/H10P020-M.f.smi.gz	198
zinc-22f-H10P030	f	10	30	https://files.docking.org/zinc22/zinc-22f/H10/H10P030/H10P030-M.f.smi.gz	267
zinc-22f-H10P040	f	10	40	https://files.docking.org/zinc22/zinc-22f/H10/H10P040/H10P040-M.f.smi.gz	274
zinc-22f-H10P050	f	10	50	https://files.docking.org/zinc22/zinc-22f/H10/H10P050/H10P050-M.f.smi.gz	597
zinc-22f-H10P060	f	10	60	https://files.docking.org/zinc22/zinc-22f/H10/H10P060/H10P060-M.f.smi.gz	333
zinc-22f-H10P070	f	10	70	https://files.docking.org/zinc22/zinc-22f/H10/H10P070/H10P070-M.f.smi.gz	266
zinc-22f-H10P080	f	10	80	https://files.docking.org/zinc22/zinc-22f/H10/H10P080/H10P080-M.f.smi.gz	238
zinc-22f-H10P090	f	10	90	https://files.docking.org/zinc22/zinc-22f/H10/H10P090/H10P090-M.f.smi.gz	266
zinc-22f-H10P100	f	10	100	https://files.docking.org/zinc22/zinc-22f/H10/H10P100/H10P100-M.f.smi.gz	487
zinc-22f-H10P110	f	10	110	https://files.docking.org/zinc22/zinc-22f/H10/H10P110/H10P110-M.f.smi.gz	198
zinc-22f-H10P120	f	10	120	https://files.docking.org/zinc22/zinc-22f/H10/H10P120/H10P120-M.f.smi.gz	343
zinc-22f-H10P130	f	10	130	https://files.docking.org/zinc22/zinc-22f/H10/H10P130/H10P130-M.f.smi.gz	217
zinc-22f-H10P140	f	10	140	https://files.docking.org/zinc22/zinc-22f/H10/H10P140/H10P140-M.f.smi.gz	272
zinc-22f-H10P150	f	10	150	https://files.docking.org/zinc22/zinc-22f/H10/H10P150/H10P150-M.f.smi.gz	292
zinc-22f-H10P160	f	10	160	https://files.docking.org/zinc22/zinc-22f/H10/H10P160/H10P160-M.f.smi.gz	177
zinc-22f-H10P170	f	10	170	https://files.docking.org/zinc22/zinc-22f/H10/H10P170/H10P170-M.f.smi.gz	50
zinc-22f-H10P180	f	10	180	https://files.docking.org/zinc22/zinc-22f/H10/H10P180/H10P180-M.f.smi.gz	49
zinc-22f-H10P200	f	10	200	https://files.docking.org/zinc22/zinc-22f/H10/H10P200/H10P200-M.f.smi.gz	166
zinc-22f-H10P210	f	10	210	https://files.docking.org/zinc22/zinc-22f/H10/H10P210/H10P210-M.f.smi.gz	124
zinc-22f-H10P250	f	10	250	https://files.docking.org/zinc22/zinc-22f/H10/H10P250/H10P250-M.f.smi.gz	52
zinc-22f-H10P280	f	10	280	https://files.docking.org/zinc22/zinc-22f/H10/H10P280/H10P280-M.f.smi.gz	48
zinc-22f-H10P310	f	10	310	https://files.docking.org/zinc22/zinc-22f/H10/H10P310/H10P310-M.f.smi.gz	52
zinc-22f-H10P340	f	10	340	https://files.docking.org/zinc22/zinc-22f/H10/H10P340/H10P340-M.f.smi.gz	49
zinc-22f-H11P000	f	11	0	https://files.docking.org/zinc22/zinc-22f/H11/H11P000/H11P000-M.f.smi.gz	741
zinc-22f-H11P010	f	11	10	https://files.docking.org/zinc22/zinc-22f/H11/H11P010/H11P010-M.f.smi.gz	933
zinc-22f-H11P020	f	11	20	https://files.docking.org/zinc22/zinc-22f/H11/H11P020/H11P020-M.f.smi.gz	958
zinc-22f-H11P030	f	11	30	https://files.docking.org/zinc22/zinc-22f/H11/H11P030/H11P030-M.f.smi.gz	1200
zinc-22f-H11P040	f	11	40	https://files.docking.org/zinc22/zinc-22f/H11/H11P040/H11P040-M.f.smi.gz	1102
zinc-22f-H11P050	f	11	50	https://files.docking.org/zinc22/zinc-22f/H11/H11P050/H11P050-M.f.smi.gz	1296
zinc-22f-H11P060	f	11	60	https://files.docking.org/zinc22/zinc-22f/H11/H11P060/H11P060-M.f.smi.gz	1012
zinc-22f-H11P070	f	11	70	https://files.docking.org/zinc22/zinc-22f/H11/H11P070/H11P070-M.f.smi.gz	1543
zinc-22f-H11P080	f	11	80	https://files.docking.org/zinc22/zinc-22f/H11/H11P080/H11P080-M.f.smi.gz	1248
zinc-22f-H11P090	f	11	90	https://files.docking.org/zinc22/zinc-22f/H11/H11P090/H11P090-M.f.smi.gz	1561
zinc-22f-H11P100	f	11	100	https://files.docking.org/zinc22/zinc-22f/H11/H11P100/H11P100-M.f.smi.gz	1087
zinc-22f-H11P110	f	11	110	https://files.docking.org/zinc22/zinc-22f/H11/H11P110/H11P110-M.f.smi.gz	1462
zinc-22f-H11P120	f	11	120	https://files.docking.org/zinc22/zinc-22f/H11/H11P120/H11P120-M.f.smi.gz	1166
zinc-22f-H11P130	f	11	130	https://files.docking.org/zinc22/zinc-22f/H11/H11P130/H11P130-M.f.smi.gz	1107
zinc-22f-H11P140	f	11	140	https://files.docking.org/zinc22/zinc-22f/H11/H11P140/H11P140-M.f.smi.gz	1185
zinc-22f-H11P150	f	11	150	https://files.docking.org/zinc22/zinc-22f/H11/H11P150/H11P150-M.f.smi.gz	1061
zinc-22f-H11P160	f	11	160	https://files.docking.org/zinc22/zinc-22f/H11/H11P160/H11P160-M.f.smi.gz	1303
zinc-22f-H11P170	f	11	170	https://files.docking.org/zinc22/zinc-22f/H11/H11P170/H11P170-M.f.smi.gz	1115
zinc-22f-H11P180	f	11	180	https://files.docking.org/zinc22/zinc-22f/H11/H11P180/H11P180-M.f.smi.gz	705
zinc-22f-H11P190	f	11	190	https://files.docking.org/zinc22/zinc-22f/H11/H11P190/H11P190-M.f.smi.gz	914
zinc-22f-H11P200	f	11	200	https://files.docking.org/zinc22/zinc-22f/H11/H11P200/H11P200-M.f.smi.gz	487
zinc-22f-H11P210	f	11	210	https://files.docking.org/zinc22/zinc-22f/H11/H11P210/H11P210-M.f.smi.gz	643
zinc-22f-H11P220	f	11	220	https://files.docking.org/zinc22/zinc-22f/H11/H11P220/H11P220-M.f.smi.gz	450
zinc-22f-H11P230	f	11	230	https://files.docking.org/zinc22/zinc-22f/H11/H11P230/H11P230-M.f.smi.gz	608
zinc-22f-H11P240	f	11	240	https://files.docking.org/zinc22/zinc-22f/H11/H11P240/H11P240-M.f.smi.gz	384
zinc-22f-H11P250	f	11	250	https://files.docking.org/zinc22/zinc-22f/H11/H11P250/H11P250-M.f.smi.gz	263
zinc-22f-H11P260	f	11	260	https://files.docking.org/zinc22/zinc-22f/H11/H11P260/H11P260-M.f.smi.gz	111
zinc-22f-H11P270	f	11	270	https://files.docking.org/zinc22/zinc-22f/H11/H11P270/H11P270-M.f.smi.gz	162
zinc-22f-H11P280	f	11	280	https://files.docking.org/zinc22/zinc-22f/H11/H11P280/H11P280-M.f.smi.gz	141
zinc-22f-H11P290	f	11	290	https://files.docking.org/zinc22/zinc-22f/H11/H11P290/H11P290-M.f.smi.gz	52
zinc-22f-H11P310	f	11	310	https://files.docking.org/zinc22/zinc-22f/H11/H11P310/H11P310-M.f.smi.gz	52
zinc-22f-H11P320	f	11	320	https://files.docking.org/zinc22/zinc-22f/H11/H11P320/H11P320-M.f.smi.gz	74
zinc-22f-H11P330	f	11	330	https://files.docking.org/zinc22/zinc-22f/H11/H11P330/H11P330-M.f.smi.gz	73
zinc-22f-H11P350	f	11	350	https://files.docking.org/zinc22/zinc-22f/H11/H11P350/H11P350-M.f.smi.gz	52
zinc-22f-H12P000	f	12	0	https://files.docking.org/zinc22/zinc-22f/H12/H12P000/H12P000-M.f.smi.gz	2676
zinc-22f-H12P010	f	12	10	https://files.docking.org/zinc22/zinc-22f/H12/H12P010/H12P010-M.f.smi.gz	2421
